MMM,3M Company,20,Industrials,2010,Capital Goods,201050,Industrial Conglomerates,20105010,Industrial Conglomerates
ACE,ACE Limited,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
ADCT,ADC Telecommunications,45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
AES,AES Corp.,55,Utilities,5510,Utilities,551050,Independent Power Producers & Energy Traders,55105010,Independent Power Producers & Energy Traders
AFL,AFLAC Inc.,40,Financials,4030,Insurance,403010,Insurance,40301020,Life & Health Insurance
AT,ALLTEL Corp.,50,Telecommunication Services,5010,Telecommunication Services,501020,Wireless Telecommunication Services,50102010,Wireless Telecommunication Services
T,AT&T Inc.,50,Telecommunication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services
ABT,Abbott Labs,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
ANF,Abercrombie & Fitch Co.,25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504010,Apparel Retail
ADBE,Adobe Systems,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
AMD,Advanced Micro Devices,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductor & Semiconductor Equipment,45301020,Semiconductors
AET,Aetna Inc.,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care
ACS,Affiliated Computer,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
A,Agilent Technologies,45,Information Technology,4520,Technology Hardware & Equipment,452030,Electronic Equipment & Instruments,45203010,Electronic Equipment Manufacturers
APD,Air Products & Chemicals,15,Materials,1510,Materials,151010,Chemicals,15101040,Industrial Gases
AA,Alcoa Inc,15,Materials,1510,Materials,151040,Metals & Mining,15104010,Aluminum
AYE,Allegheny Energy,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
ATI,Allegheny Technologies Inc,15,Materials,1510,Materials,151040,Metals & Mining,15104050,Steel
AGN,"Allergan, Inc.",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
AW,Allied Waste Industries,20,Industrials,2020,Commercial Services & Supplies,202010,Commercial Services & Supplies,20201050,Environmental & Facilities Services
ALL,Allstate Corp.,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
ALTR,Altera Corp.,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductor & Semiconductor Equipment,45301020,Semiconductors
MO,"Altria Group, Inc.",30,Consumer Staples,3020,Food Beverage & Tobacco,302030,Tobacco,30203010,Tobacco
AMZN,Amazon Corp.,25,Consumer Discretionary,2550,Retailing,255020,Internet & Catalog Retail,25502020,Internet Retail
ABK,Ambac Financial Group,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
AEE,Ameren Corporation,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
AEP,American Electric Power,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
AXP,American Express,40,Financials,4020,Diversified Financials,402020,Consumer Finance,40202010,Consumer Finance
AIG,American Int'l. Group,40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance
ASD,American Standard,20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products
AMP,"Ameriprise Financial, Inc.",40,Financials,4020,Diversified Financials,402030,Capital Markets,40203010,Asset Management & Custody Banks
ABC,AmerisourceBergen Corp.,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102010,Health Care Distributors
AMGN,Amgen,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
APC,Anadarko Petroleum,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
ADI,Analog Devices,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductor & Semiconductor Equipment,45301020,Semiconductors
BUD,Anheuser-Busch,30,Consumer Staples,3020,Food Beverage & Tobacco,302010,Beverages,30201010,Brewers
AOC,Aon Corp.,40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers
APA,Apache Corp.,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
AIV,Apartment Investment & Mgmt'A',40,Financials,4040,Real Estate,404020,Real Estate Investment Trusts (REITs),40402050,Residential REITs
APOL,Apollo Group,25,Consumer Discretionary,2530,Consumer Services,253020,Diversified Consumer Services,25302010,Education Services
AAPL,Apple Inc.,45,Information Technology,4520,Technology Hardware & Equipment,452020,Computers & Peripherals,45202010,Computer Hardware
ABI,Applera Corp-Applied Biosystems Group,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352030,Life Sciences Tools & Services,35203010,Life Sciences Tools & Services
AMAT,Applied Materials,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductor & Semiconductor Equipment,45301010,Semiconductor Equipment
ADM,Archer-Daniels-Midland,30,Consumer Staples,3020,Food Beverage & Tobacco,302020,Food Products,30202010,Agricultural Products
ASN,Archstone-Smith Trust,40,Financials,4040,Real Estate,404020,Real Estate Investment Trusts (REITs),40402050,Residential REITs
